source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
Natural History Museum Denmark (NMD);email;NHMD;Phocoena;phocoena;Harbor porpoise;tooth;1;1955;NA;Kattegat;Denmark;34/1955;NA;one porous tooth (fossil?), not dated;
Natural History Museum Denmark (NMD);email;NHMD;Physeter;macrocephalus;Sperm whale;teeth;15;~2920 BP;NA;Læsø;Denmark;12/1872;NA;"15 teeth; carbon dated;";
Natural History Museum Denmark (NMD);email;NHMD;Physeter;macrocephalus;Sperm whale;tooth;1;NA;Bronze Age;Bulbjerg;Denmark;17/1913;NA;badly detiorated;
Natural History Museum Denmark (NMD);email;NHMD;Physeter;macrocephalus;Sperm whale;tooth;1;NA;NA;Torup;Denmark;26/1989;NA;NA;
Natural History Museum Denmark (NMD);email;NHMD;Physeter;macrocephalus;Sperm whale;tooth;1;NA;NA;Brenderup;Denmark;167/2011;NA;NA;
Natural History Museum Denmark (NMD);email;NHMD;Physeter;macrocephalus;Sperm whale;tooth;1;NA;NA;Læsø;Denmark;168/2011;NA;NA;
Natural History Museum Denmark (NMD);email;NHMD;Physeter;macrocephalus;Sperm whale;tooth;1;NA;NA;Læsø;Denmark;227/2012;NA;NA;
Natural History Museum Denmark (NMD);email;NHMD;Physeter;macrocephalus;Sperm whale;tooth;1;NA;NA;Overby Lyng;Denmark;31/2019;NA;NA;
Natural History Museum Denmark (NMD);email;NHMD;Tursiops;truncatus;Bottlenose dolphin;teeth;;NA;Mesolithic;Nivagard;Denmark;5784;NA;NA;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-06347;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-14984;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;1932;;;;ZC-19051;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-19052;;;
Oxford Museum of Natural History (NMHO);email;NMHO;Physeter;macrocephalus;Sperm whale;Tooth;1;;;;;ZC-19053;;;
